region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,isСomplete,complitation_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction,repair,with_furniture,windows_type
msk,"Москва, 1-й Сетуньский проезд, вл10",23715078,38.59,empty,24.4,1,4,41,empty,0,2024,monolith,underground,empty,empty,37.541503,55.731936,2,2,"Лужники,Спортивная,Воробьёвы горы","3,4,4","transport,transport,transport","Раменки,ЗАО",0,0,empty,empty,empty
msk,"Россия, Москва, 2-й Неопалимовский переулок, 3",265320000,147.4,empty,empty,4,4,9,2023,empty,empty,empty,empty,empty,0,37.582493,55.73925,0,0,"Парк Культуры,Смоленская,Киевская","10,14,16","walk,walk,walk","Хамовники,ЦАО",empty,1,empty,empty,empty
msk,"Москва, проспект Андропова, вл9/1",30222250,72.1,empty,empty,2,2,24,empty,1,2023,monolith,empty,without,empty,37.6672398220896,55.6906546805921,empty,3,"Технопарк,Коломенская,Автозаводская","5,15,4","walk,walk,transport","Нагатинский затон,ЮАО",0,0,empty,empty,empty
msk,"Москва, Колымажный переулок, 10",290000000,200.9,17.0,110.0,4,4,7,2006,empty,empty,monolithBrick,underground,empty,0,37.604403,55.748199,1,0,"Кропоткинская,Александровский сад,Арбатская","5,7,7","walk,walk,walk","Хамовники,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Рязанский проспект",12655020,40.6,7.3,24.4,2,2,30,empty,0,2027,monolithBrick,empty,without,empty,37.7730046188418,55.7195076406786,empty,empty,"Окская,Кузьминки,Рязанский проспект","10,18,18","walk,walk,walk","Рязанский,ЮВАО",0,0,empty,empty,empty
msk,"Москва, Б. Козихинский пер., 25",360000000,193.4,13.0,121.0,4,6,8,2014,empty,empty,monolithBrick,underground,empty,1,37.594414,55.764734,1,0,Пушкинская,9,walk,"Пресненский,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Дубининская улица, 59к6",31691132,57.2,empty,23.3,2,14,27,empty,0,2024,empty,empty,empty,empty,37.6356517202372,55.71786170144511,empty,empty,"Серпуховская,Павелецкая,Добрынинская","18,20,4","walk,walk,transport","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Россия, Москва, Московский международный деловой центр Москва-Сити тер., многофункциональный комплекс Око",487168235,294.6,empty,empty,4,80,85,empty,empty,empty,monolith,underground,empty,empty,37.534325,55.749765,4,1,"Деловой центр,Международная,Деловой центр","3,3,4","walk,walk,walk","Пресненский,ЦАО",1,1,empty,empty,empty
msk,"Москва, 2-й Донской проезд",37232473,46.4,empty,empty,2,6,18,empty,0,2028,monolith,empty,without,empty,37.5925293128265,55.7107321234353,empty,empty,"Ленинский проспект,Площадь Гагарина","7,10","walk,walk","Донской,ЮАО",0,0,empty,empty,empty
msk,"Москва, улица 3-я Ямского Поля, 9",275000000,370.0,empty,empty,5,5,6,empty,empty,empty,empty,empty,empty,empty,37.580894,55.781626,empty,empty,Белорусская,5,walk,"Беговой,САО",1,1,empty,empty,empty
msk,"Москва, Электролитный проезд, 12Б",17313120,39.6,empty,empty,2,23,34,empty,0,2026,monolith,empty,without,empty,37.6152154246058,55.6705825395779,3,1,"Нагорная,Нахимовский проспект,Нагатинская","8,4,10","walk,transport,transport","Нагорный,ЮАО",0,0,empty,empty,empty
msk,"Москва, улица 3-я Ямского Поля, 9",250000000,324.5,empty,empty,4,6,6,empty,empty,empty,empty,empty,empty,empty,37.580894,55.781626,empty,empty,"Белорусская,Маяковская,Савёловская","7,5,5","walk,transport,transport","Беговой,САО",1,1,empty,empty,empty
msk,"Москва, 1-я Тверская-Ямская улица, 2",85974000,62.3,23.7,empty,2,8,9,empty,1,2022,monolith,underground,fine,empty,37.5948676266339,55.7710883704405,empty,empty,"Маяковская,Тверская,Пушкинская","1,10,11","walk,walk,walk","Тверской,ЦАО",1,0,empty,empty,empty
msk,"Москва, 4-ый Верхний Михайловский пр-д , 4, корп. 1",39000000,52.0,6.0,29.0,2,3,5,1956,empty,empty,brick,open,empty,0,37.605221,55.708268,0,0,"Шаболовская,Ленинский проспект,Тульская","16,17,19","walk,walk,walk","Донской,ЮАО",empty,1,empty,empty,empty
msk,"Москва, улица Обручева",20286000,41.4,19.4,13.1,2,25,34,empty,0,2025,monolith,empty,without,empty,37.532481299207,55.6589834706462,2,2,"Калужская,Воронцовская,Беляево","8,11,5","walk,walk,transport","Обручевский,ЮЗАО",0,0,empty,empty,empty
msk,"Москва, Славянская площадь, 2/5с1",234740000,213.4,empty,79.4,3,8,8,2022,empty,empty,monolithBrick,underground,empty,empty,37.635727,55.752541,empty,empty,"Китай-город,Лубянка,Площадь Революции","2,12,14","walk,walk,walk","Таганский,ЦАО",1,1,empty,empty,empty
msk,"Москва, Дербеневская улица",18707580,38.7,18.2,12.0,2,10,27,empty,0,2026,monolith,empty,without,empty,37.6449734179683,55.7209805531047,1,2,"Серпуховская,Пролетарская,Павелецкая","20,2,4","walk,transport,transport","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Москва, Беговая ул., 4",29990000,70.2,14.0,36.0,2,5,7,1938,empty,empty,brick,empty,empty,0,37.555095,55.775454,empty,empty,Беговая,6,walk,"Беговой,САО",0,1,empty,empty,empty
msk,"Москва, улица Костикова, 4к1",103787040,110.6,34.6,empty,2,5,21,empty,1,2023,monolith,empty,empty,empty,37.5573009849619,55.7612846731082,empty,empty,"Улица 1905 года,Краснопресненская,Беговая","9,19,2","walk,walk,transport","Пресненский,ЦАО",0,0,empty,empty,empty
msk,"Москва, Нижняя Красносельская улица, 35с50",139000000,190.0,empty,empty,3,7,10,2015,empty,empty,monolith,empty,empty,empty,37.674094,55.774745,1,empty,"Бауманская,Красносельская,Комсомольская","5,10,15","walk,walk,walk","Басманный,ЦАО",1,1,empty,empty,empty
msk,"Москва, Ленинский проспект, 2",75490000,75.49,26.0,44.5,2,2,9,empty,0,2024,monolithBrick,empty,fine,empty,37.61125350678,55.7296107564818,empty,empty,"Октябрьская,Добрынинская,Полянка","2,11,13","walk,walk,walk","Якиманка,ЦАО",1,0,empty,empty,empty
msk,"Москва, М. Ордынка ул., 5/6, стр. 2-3",67500000,88.0,8.0,48.0,3,2,5,1912,empty,empty,brick,open,empty,0,37.62625,55.740147,1,0,"Третьяковская,Новокузнецкая,Полянка","1,5,12","walk,walk,walk","Замоскворечье,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Большая Черёмушкинская улица",25230400,41.6,empty,empty,2,23,42,empty,1,2024,monolith,empty,without,empty,37.59277037884578,55.678190318333414,4,4,"Нагорная,Академическая,Крымская","20,5,8","walk,transport,transport","Котловка,ЮЗАО",0,0,empty,empty,empty
msk,"Россия, Москва, Большой Патриарший переулок, 4",130000000,120.7,42.0,60.0,3,5,5,1913,empty,empty,brick,ground,empty,0,37.591916,55.762449,empty,empty,"Пушкинская,Тверская,Маяковская","11,12,13","walk,walk,walk","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, улица Сергея Макеева",47810000,53.1,9.0,28.7,2,2,23,empty,0,2026,monolith,underground,without,empty,37.5495984651153,55.7635848915684,1,empty,"Улица 1905 года,Краснопресненская,Шелепиха","12,4,5","walk,transport,transport","Пресненский,ЦАО",0,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",82000000,60.0,empty,empty,2,5,13,2019,empty,empty,brick,underground,empty,empty,37.571767,55.727399,4,empty,"Спортивная,Фрунзенская,Лужники","10,14,15","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, улица Мнёвники",30956162,61.18,20.9,empty,2,24,54,empty,0,2027,monolith,underground,empty,empty,37.5077421542052,55.7741898598792,1,empty,"Полежаевская,Хорошёвская,Народное Ополчение","14,15,15","walk,walk,walk","Хорошево-Мневники,СЗАО",0,0,empty,empty,empty
msk,"Москва, Усачева улица, 11Ж, квартал 3(3.7)",180000000,170.0,13.0,108.5,3,4,6,empty,empty,empty,monolithBrick,multilevel,empty,empty,37.570851,55.726979,empty,empty,"Спортивная,Фрунзенская,Парк Культуры","10,14,4","walk,walk,transport","Хамовники,ЦАО",empty,1,empty,empty,empty
msk,"Москва, жилой комплекс Виктори Парк Резиденсез, 3к3",70678874,66.5,8.5,empty,2,2,13,empty,0,2024,monolith,empty,fine,empty,37.5164552103271,55.732453937557096,empty,empty,"Парк Победы,Кутузовская,Киевская","9,20,5","walk,walk,transport","Дорогомилово,ЗАО",0,0,empty,empty,empty
msk,"Москва, улица Усачёва, 11",190000000,169.0,empty,empty,3,4,18,2019,empty,empty,brick,underground,empty,1,37.571767,55.727399,empty,empty,"Спортивная,Фрунзенская,Лужники","10,14,15","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, Лужнецкая набережная",50005000,49.8,empty,27.9,2,4,17,empty,0,2026,monolith,multilevel,without,empty,37.5711844656955,55.715275061735,1,1,"Воробьёвы горы,Лужники,Спортивная","12,18,20","walk,walk,walk","Хамовники,ЦАО",0,0,empty,empty,empty
msk,"Россия, Москва, улица Усачёва, 11Б",82000000,60.0,empty,empty,2,5,18,2019,empty,empty,monolithBrick,underground,empty,empty,37.572288,55.727724,1,1,"Спортивная,Фрунзенская,Лужники","9,13,15","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, микрорайон Рублёво-Архангельское, квартал B10",24280200,47.0,6.0,25.5,2,2,11,empty,0,2026,monolithBrick,empty,fine,empty,37.34325424600749,55.79062755554365,empty,empty,"Опалиха,Сетунь,Карамышевская","11,12,14","transport,transport,transport",ЗАО,0,0,empty,empty,empty
msk,"Россия, Москва, улица Костякова, 17к1",26800000,60.0,18.0,32.0,3,4,10,1965,empty,empty,brick,ground,empty,1,37.5683,55.815731,1,empty,"Тимирязевская,Дмитровская,Гражданская","7,14,20","walk,walk,walk","Тимирязевский,САО",0,1,empty,empty,empty
msk,"Москва, Западный административный округ, район Раменки, жилой комплекс Вест Гарден, к14",36230000,69.0,22.5,24.6,2,7,14,empty,1,2023,monolith,empty,empty,empty,37.4964885610361,55.7150361920507,1,1,"Ломоносовский проспект,Раменки,Минская","2,3,5","transport,transport,transport","Раменки,ЗАО",0,0,empty,empty,empty
msk,"Москва, улица Сергея Макеева, 9к3",160000000,146.0,empty,empty,4,6,17,2017,empty,empty,brick,underground,empty,empty,37.550064,55.7621,2,empty,"Улица 1905 года,Деловой центр,Баррикадная","12,4,4","walk,transport,transport","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, 2-я Хуторская улица",25607892,55.16,15.4,23.2,2,42,54,empty,0,2025,monolith,empty,empty,empty,37.5711056858421,55.8063057033718,1,1,"Дмитровская,Гражданская,Тимирязевская","6,18,5","walk,walk,transport","Савеловский,САО",0,0,empty,empty,empty
msk,"Москва, улица Сергея Макеева, 9к2",86000000,69.0,empty,empty,2,14,17,2017,empty,empty,brick,underground,empty,empty,37.550567,55.761644,1,empty,"Улица 1905 года,Тестовская,Баррикадная","12,4,4","walk,transport,transport","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, Дербеневская улица",43061697,55.8,empty,empty,2,5,11,empty,0,2025,monolithBrick,underground,without,empty,37.6542770089447,55.7253323113978,2,1,"Павелецкая,Пролетарская","16,18","walk,walk","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Москва, 2-ая Звенигородская, 16",107000000,115.0,20.0,64.0,3,2,21,2023,empty,empty,monolithBrick,underground,empty,empty,37.555391,55.763295,2,empty,Улица 1905 года,7,walk,"Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, микрорайон Рублёво-Архангельское, квартал В19",37126080,85.94,21.9,32.1,2,2,12,empty,0,2025,monolith,empty,without,empty,37.3438052008762,55.789558187273,empty,empty,"Опалиха,Сетунь,Карамышевская","11,12,13","transport,transport,transport",ЗАО,0,0,empty,empty,empty
msk,"Москва, Пресненский район,  улица 2-ая звенигородская улица 4.1",179300000,163.0,empty,empty,4,15,21,2021,empty,empty,monolith,empty,empty,empty,37.556227,55.761293,empty,empty,Улица 1905 года,9,walk,"Пресненский,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Береговой проезд, 2",28276398,78.7,26.2,26.4,2,3,18,empty,0,2024,monolithBrick,empty,without,empty,37.5078063512008,55.7597681819349,22,1,"Народное Ополчение,Фили,Багратионовская","3,4,4","transport,transport,transport","Филевский парк,ЗАО",0,0,empty,empty,empty
msk,"Москва, 2-я звенигородская, д. 14",101000000,106.8,15.0,48.4,3,10,21,2023,empty,empty,empty,empty,empty,3,37.555481,55.762804,empty,empty,Улица 1905 года,7,walk,"Пресненский,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Даниловский район, улица Автозаводская",23826724,60.52,empty,empty,2,9,16,empty,0,2025,monolithBrick,underground,fine,empty,37.6351179672961,55.7064860931808,empty,empty,"ЗИЛ,Автозаводская","19,3","walk,transport","Даниловский,ЮАО",1,0,empty,empty,empty
msk,"Россия, Москва, Мичуринский проспект, 56",45800000,78.0,empty,empty,3,36,52,2020,empty,empty,monolith,underground,empty,empty,37.485664,55.695804,2,2,"Раменки,Мичуринский проспект,Ломоносовский проспект","12,15,6","walk,walk,transport","Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, Полковая улица",22671988,47.4,empty,empty,2,5,22,empty,0,2025,monolith,underground,without,empty,37.5975001540744,55.7986280976491,2,1,"Савёловская,Марьина Роща","10,6","walk,transport","Марьина роща,СВАО",0,0,empty,empty,empty
msk,"Москва, улица Воронцовская, д.32, к.1",44900000,94.0,10.0,67.0,3,6,6,1938,empty,empty,empty,empty,empty,1,37.660548,55.734927,1,empty,"Пролетарская,Крестьянская застава","7,7","walk,walk","Таганский,ЦАО",0,1,empty,empty,empty
msk,"Москва, улица Арбат, 39",150400000,178.6,empty,empty,2,3,5,empty,1,2019,monolith,underground,rough,empty,37.5895374169819,55.7487617544371,3,empty,"Смоленская,Арбатская","6,12","walk,walk","Арбат,ЦАО",0,0,empty,empty,empty
msk,"Москва, Зубовская улица, 7",182681200,184.9,12.4,128.3,4,2,6,2023,empty,empty,monolithBrick,underground,empty,empty,37.583365,55.736934,2,empty,"Парк Культуры,Фрунзенская,Киевская","10,16,18","walk,walk,walk","Хамовники,ЦАО",1,1,empty,empty,empty
msk,"Москва, микрорайон Рублёво-Архангельское, квартал В20",43741396,82.36,22.0,32.9,2,3,13,empty,0,2025,monolithBrick,empty,fine,empty,37.3438008900958,55.7887728612671,empty,empty,"Опалиха,Сетунь,Карамышевская","11,12,13","transport,transport,transport",ЗАО,0,0,empty,empty,empty
msk,"Россия, Москва, Барыковский переулок, 5",110000000,111.0,9.3,80.0,3,4,5,1914,empty,empty,brick,ground,empty,0,37.596713,55.741267,1,empty,"Кропоткинская,Парк Культуры,Смоленская","5,9,15","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, 1-й Красногвардейский проезд, 22с1",66500400,60.4,empty,empty,2,65,66,empty,1,2020,monolith,empty,without,empty,37.533742,55.751138,empty,empty,"Выставочная,Деловой центр,Тестовская","3,3,3","walk,walk,walk","Пресненский,ЦАО",1,0,empty,empty,empty
msk,"Москва, Верхняя улица, 20к1",54500000,66.2,26.6,20.0,3,7,27,2018,empty,empty,monolithBrick,underground,empty,empty,37.574309,55.77919,1,1,"Белорусская,Белорусская,Динамо","8,12,4","walk,walk,transport","Беговой,САО",0,1,empty,empty,empty
msk,"Москва, 1-й переулок Тружеников, 12",303725598,147.05,empty,empty,2,2,14,empty,0,2025,monolithBrick,empty,without,empty,37.5726140846557,55.7378653446,empty,empty,"Киевская,Фрунзенская,Смоленская","13,15,20","walk,walk,walk","Хамовники,ЦАО",0,0,empty,empty,empty
msk,"Россия, Москва, Никитский бульвар, 12",165000000,245.0,25.0,132.0,6,7,7,1914,empty,empty,monolith,empty,empty,empty,37.60054,55.755387999999996,1,empty,"Арбатская,Александровский сад,Библиотека им. Ленина","6,11,11","walk,walk,walk","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, Софийская набережная, 34с3",180000000,75.0,10.0,43.3,2,5,7,empty,0,2026,monolith,underground,without,empty,37.622796830688,55.7463922322426,4,3,"Новокузнецкая,Третьяковская","10,10","walk,walk","Якиманка,ЦАО",0,0,empty,empty,empty
msk,"Москва, улица Гризодубовой, 2",78000000,244.1,empty,empty,4,21,23,2007,empty,empty,panel,underground,empty,2,37.531936,55.782572,3,3,"ЦСКА,Полежаевская,Хорошёвская","7,13,13","walk,walk,walk","Хорошевский,САО",0,1,empty,empty,empty
msk,"Москва, Ильинка",124590000,54.7,20.8,15.5,1,2,5,empty,0,2024,monolith,empty,empty,empty,37.6235092209009,55.7552009954911,empty,empty,"Площадь Революции,Театральная,Китай-город","3,6,6","walk,walk,walk","Тверской,ЦАО",0,0,empty,empty,empty
msk,"Россия, Москва, улица Врубеля, 4к1",92300000,142.0,empty,empty,4,5,15,2023,empty,empty,monolith,underground,empty,empty,37.502112,55.806272,1,1,"Панфиловская,Сокол,Стрешнево","13,13,17","walk,walk,walk","Сокол,САО",0,1,empty,empty,empty
msk,"Москва, Потаповский переулок, 5с4",217970000,120.3,37.0,35.8,2,3,6,empty,0,2025,monolith,underground,empty,1,37.641443038028626,55.761765709459695,1,empty,"Чистые пруды,Тургеневская,Сретенский бульвар","5,6,8","walk,walk,walk","Басманный,ЦАО",0,0,empty,empty,empty
msk,"Москва, Озёрная улица, 44",16999999,48.3,12.1,27.7,2,20,20,2022,empty,empty,panel,ground,empty,empty,37.440245,55.667665,empty,4,"Озёрная,Мещерская,Говорово","9,4,5","walk,transport,transport","Очаково-Матвеевское,ЗАО",0,1,empty,empty,empty
msk,"Москва, Северо-Восточный административный округ, район Ростокино, жилой комплекс Союз, к2",29246000,61.8,empty,25.4,2,3,23,empty,0,2024,monolithBrick,underground,without,2,37.6421616258068,55.8378393904464,2,empty,"Ботанический сад,Улица Сергея Эйзенштейна","11,18","walk,walk","Ростокино,СВАО",0,0,empty,empty,empty
msk,"Москва, Мосфильмовская улица, 8",135000000,150.0,empty,empty,3,8,53,2011,empty,empty,monolith,empty,empty,empty,37.527256,55.723587,3,empty,"Ломоносовский проспект,Минская,Парк Победы","4,4,9","transport,transport,transport","Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, Западный административный округ, район Филёвский Парк, проезд Багратионовский, вл 5",42715100,76.41,empty,empty,2,2,11,empty,1,2023,monolith,underground,fine,empty,37.508975,55.742448,1,1,"Фили,Багратионовская,Парк Победы","8,10,15","walk,walk,walk","Филевский парк,ЗАО",0,0,empty,empty,empty
msk,"Москва, Ленинградский проспект, 37/5",38000000,51.3,5.8,33.6,2,4,4,2023,empty,empty,monolith,underground,empty,empty,37.541018,55.793875,1,1,"ЦСКА,Аэропорт,Петровский Парк","11,14,17","walk,walk,walk","Хорошевский,САО",0,1,empty,empty,empty
msk,"Москва, жилой комплекс Репаблик, к2.3",43374659,47.49,3.0,25.0,2,31,33,empty,0,2025,monolith,underground,without,empty,37.57254197099068,55.77374939839737,3,2,"Белорусская,Белорусская,Улица 1905 года","11,14,19","walk,walk,walk","Пресненский,ЦАО",1,0,empty,empty,empty
msk,"Москва, Конный переулок, д. 4",60000000,126.6,13.0,82.4,3,10,12,2001,empty,empty,brick,empty,empty,1,37.613341,55.721518,empty,empty,"Шаболовская,Октябрьская,Серпуховская","7,13,17","walk,walk,walk","Якиманка,ЦАО",empty,1,empty,empty,empty
msk,"Москва, 1-я улица Бухвостова",31265226,71.81,empty,empty,2,2,17,empty,0,2025,monolith,empty,without,empty,37.7129462779126,55.7986301903708,1,1,"Преображенская площадь,Семёновская,Черкизовская","5,3,4","walk,transport,transport","Преображенское,ВАО",0,0,empty,empty,empty
msk,"Москва, Фурманный переулок, д. 8с2",77000000,98.3,10.0,62.0,3,2,8,2007,empty,empty,empty,empty,empty,empty,37.64913,55.764014,empty,empty,"Чистые пруды,Красные ворота","11,11","walk,walk","Басманный,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Западный административный округ, район Филёвский Парк, Багратионовский проезд, 5",29221938,58.48,empty,empty,2,2,57,empty,1,2023,monolith,underground,empty,empty,37.5095364775231,55.7423225102259,1,2,"Фили,Багратионовская,Парк Победы","5,14,17","walk,walk,walk","Филевский парк,ЗАО",0,0,empty,empty,empty
msk,"Москва, Мосфильмовская улица, 8",78000000,96.0,empty,empty,3,11,53,2012,empty,empty,monolith,underground,empty,empty,37.527256,55.723587,3,1,"Ломоносовский проспект,Тестовская,Тестовская","4,5,6","transport,transport,transport","Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, улица Арбат, 24",146715789,121.2,empty,empty,2,8,8,empty,1,2019,monolith,underground,rough,1,37.592285,55.750069,2,empty,"Смоленская,Арбатская","9,10","walk,walk","Арбат,ЦАО",0,0,empty,empty,empty
msk,"Москва, Мосфильмовская, 8",142000000,181.4,20.0,98.0,4,22,33,2011,empty,empty,monolith,underground,empty,empty,37.527256,55.723587,4,empty,Минская,7,transport,"Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, 1-й Можайский тупик, 8Ас1",40701690,41.49,empty,empty,2,5,14,empty,0,2026,monolith,empty,empty,empty,37.55858,55.743603,empty,empty,"Киевская,Студенческая,Выставочная","8,12,20","walk,walk,walk","Дорогомилово,ЗАО",1,0,empty,empty,empty
msk,"Москва, Береговой проезд, д. 5к2",21900000,43.5,15.0,23.5,2,16,21,2015,empty,empty,empty,empty,empty,empty,37.50884,55.756386,empty,empty,"Фили,Шелепиха","16,3","walk,transport","Филевский парк,ЗАО",1,1,empty,empty,empty
msk,"Москва, Багратионовский проезд, 5Ак1",38352000,75.2,empty,51.8,2,33,41,empty,1,2021,monolith,underground,empty,empty,37.5095986064,55.7433431076,1,2,"Фили,Багратионовская,Парк Победы","6,11,17","walk,walk,walk","Филевский парк,ЗАО",0,0,empty,empty,empty
msk,"Москва, Усачева улица, 15А, квартал 2(2.10)",250000000,201.14,empty,empty,5,12,14,empty,empty,empty,monolithBrick,multilevel,empty,empty,37.570276,55.7256,empty,empty,"Спортивная,Фрунзенская,Парк Культуры","6,11,4","walk,walk,transport","Хамовники,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Большой Толмачёвский переулок",133260000,72.6,31.0,14.2,1,2,14,empty,0,2024,monolith,underground,empty,empty,37.6219303056,55.7396737042,1,1,"Полянка,Третьяковская,Боровицкая","2,4,6","transport,transport,transport","Якиманка,ЦАО",0,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",120000000,99.7,empty,empty,3,9,13,2022,empty,empty,monolithBrick,underground,empty,empty,37.570276,55.7256,empty,empty,"Спортивная,Лужники,Фрунзенская","6,10,11","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, Подольское шоссе, 3",35867731,63.7,5.4,43.7,2,9,13,empty,0,2024,monolith,underground,empty,empty,37.62448,55.713248,empty,empty,"Тульская,Серпуховская,Шаболовская","8,19,4","walk,walk,transport","Даниловский,ЮАО",1,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",114000000,99.7,empty,empty,3,8,18,2022,empty,empty,monolithBrick,underground,empty,empty,37.570276,55.7256,1,1,"Спортивная,Лужники,Фрунзенская","6,10,11","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, Береговой проезд, 2",36787582,100.3,24.3,36.9,3,3,26,empty,0,2024,monolithBrick,empty,without,empty,37.5078063512,55.7597681819,22,1,"Народное Ополчение,Фили,Багратионовская","3,4,4","transport,transport,transport","Филевский парк,ЗАО",0,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",260000000,197.5,empty,empty,5,12,18,2022,empty,empty,monolith,underground,empty,empty,37.570276,55.7256,1,1,"Спортивная,Лужники,Фрунзенская","6,10,11","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, улица Василисы Кожиной, вл25/1",43991860,71.8,empty,empty,2,8,17,empty,0,2024,monolith,empty,empty,empty,37.4922799384835,55.7339776945285,1,1,"Филёвский парк,Парк Победы,Фили","12,4,4","walk,transport,transport","Филевский парк,ЗАО",1,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",135000000,106.3,empty,empty,3,8,8,2022,empty,empty,monolithBrick,underground,empty,empty,37.570276,55.7256,1,1,"Спортивная,Лужники,Фрунзенская","6,10,11","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
